question,answer
Quels modes de paiement sont acceptés ?,Jumia propose plusieurs options de paiement : 1. Paiement en espèces à la livraison. 2. Orange Money. 3. Paiement via code promo.
Mes informations de paiement sont-elles sécurisées ?,"Jumia protège les paiements avec des systèmes de cryptage, des serveurs sécurisés et des audits réguliers."
Puis-je payer en espèces à la livraison ?,"Oui, vous pouvez choisir l'option ""paiement en espèces"" au moment de valider votre commande sur Jumia."
Combien de temps prend le traitement de mon paiement ?,La plupart des paiements sont traités immédiatement. Le délai peut varier selon la méthode utilisée.
Comment savoir si mon paiement a été traité ?,"Connectez-vous à votre compte > Commandes. Si le paiement est validé, le statut sera ""Confirmé"". Vous recevrez aussi un e-mail."
Que faire si j’ai été facturé deux fois ?,"Contactez le service client via le chat en direct. Fournissez vos infos : nom, e-mail, numéro de commande et détails du double paiement."
Que faire si mon paiement est refusé ?,Vérifiez que votre solde est suffisant et que votre code Orange Money est correct. Contactez le service client avec le message d'erreur.
Puis-je annuler une commande après avoir payé ?,"Oui, si la commande n'a pas été expédiée, vous pouvez l'annuler et obtenir un remboursement."
Qu’est-ce qu’un Bon d’achat Jumia ?,"C’est un avoir obtenu après un retour ou une récompense. Il peut être utilisé pour payer vos commandes depuis l’onglet ""Compte""."
Comment utiliser un bon d’achat ?,"Rendez-vous dans votre compte Jumia, section ""Compte"", pour voir votre solde de bon d’achat et l’utiliser lors du paiement."
